train_id,station_id,no
1,HAN,1
1,LOB,2
1,GLA,3
1,HAD,4
1,HAP,5
3,HAN,1
3,LOB,2
3,GLA,3
3,HAD,4
3,HAP,5
5,HAN,1
5,LOB,2
5,GLA,3
5,HAD,4
5,HAP,5
7,HAN,1
7,LOB,2
7,GLA,3
7,HAD,4
7,HAP,5
2,HAN,5
2,LOB,4
2,GLA,3
2,HAD,2
2,HAP,1
4,HAN,5
4,LOB,4
4,GLA,3
4,HAD,2
4,HAP,1
6,HAN,5
6,LOB,4
6,GLA,3
6,HAD,2
6,HAP,1
8,HAN,5
8,LOB,4
8,GLA,3
8,HAD,2
8,HAP,1
9,HAN,1
9,PUT,2
9,YEB,3
9,LAC,4
11,HAN,1
11,PUT,2
11,YEB,3
11,LAC,4
10,HAN,4
10,PUT,3
10,YEB,2
10,LAC,1
12,HAN,4
12,PUT,3
12,YEB,2
12,LAC,1
13,HAN,1
13,NAD,2
13,NIB,3
13,THA,4
13,VIN,5
13,DOH,6
13,HUE,7
13,DAN,8
13,QNGA,9
13,QNHO,10
13,TUH,11
13,NHT,12
13,PAT,13
13,BTH,14
13,BHO,15
13,SGO,16
15,HAN,1
15,NAD,2
15,NIB,3
15,THA,4
15,VIN,5
15,DOH,6
15,HUE,7
15,DAN,8
15,QNGA,9
15,QNHO,10
15,TUH,11
15,NHT,12
15,PAT,13
15,BTH,14
15,BHO,15
15,SGO,16
17,HAN,1
17,NAD,2
17,NIB,3
17,THA,4
17,VIN,5
17,DOH,6
17,HUE,7
17,DAN,8
17,QNGA,9
17,QNHO,10
17,TUH,11
17,NHT,12
17,PAT,13
17,BTH,14
17,BHO,15
17,SGO,16
19,HAN,1
19,NAD,2
19,NIB,3
19,THA,4
19,VIN,5
19,DOH,6
19,HUE,7
19,DAN,8
19,QNGA,9
19,QNHO,10
19,TUH,11
19,NHT,12
19,PAT,13
19,BTH,14
19,BHO,15
19,SGO,16
21,HAN,1
21,NAD,2
21,NIB,3
21,THA,4
21,VIN,5
21,DOH,6
21,HUE,7
21,DAN,8
21,QNGA,9
21,QNHO,10
21,TUH,11
21,NHT,12
21,PAT,13
21,BTH,14
21,BHO,15
21,SGO,16
14,HAN,16
14,NAD,15
14,NIB,14
14,THA,13
14,VIN,12
14,DOH,11
14,HUE,10
14,DAN,9
14,QNGA,8
14,QNHO,7
14,TUH,6
14,NHT,5
14,PAT,4
14,BTH,3
14,BHO,2
14,SGO,1
16,HAN,16
16,NAD,15
16,NIB,14
16,THA,13
16,VIN,12
16,DOH,11
16,HUE,10
16,DAN,9
16,QNGA,8
16,QNHO,7
16,TUH,6
16,NHT,5
16,PAT,4
16,BTH,3
16,BHO,2
16,SGO,1
18,HAN,16
18,NAD,15
18,NIB,14
18,THA,13
18,VIN,12
18,DOH,11
18,HUE,10
18,DAN,9
18,QNGA,8
18,QNHO,7
18,TUH,6
18,NHT,5
18,PAT,4
18,BTH,3
18,BHO,2
18,SGO,1
20,HAN,16
20,NAD,15
20,NIB,14
20,THA,13
20,VIN,12
20,DOH,11
20,HUE,10
20,DAN,9
20,QNGA,8
20,QNHO,7
20,TUH,6
20,NHT,5
20,PAT,4
20,BTH,3
20,BHO,2
20,SGO,1
22,HAN,16
22,NAD,15
22,NIB,14
22,THA,13
22,VIN,12
22,DOH,11
22,HUE,10
22,DAN,9
22,QNGA,8
22,QNHO,7
22,TUH,6
22,NHT,5
22,PAT,4
22,BTH,3
22,BHO,2
22,SGO,1
23,SGO,1
23,BHO,2
23,BTH,3
23,PAT,4
25,SGO,1
25,BHO,2
25,BTH,3
25,PAT,4
27,SGO,1
27,BHO,2
27,BTH,3
27,PAT,4
29,SGO,1
29,BHO,2
29,BTH,3
29,PAT,4
24,SGO,4
24,BHO,3
24,BTH,2
24,PAT,1
26,SGO,4
26,BHO,3
26,BTH,2
26,PAT,1
28,SGO,4
28,BHO,3
28,BTH,2
28,PAT,1
30,SGO,4
30,BHO,3
30,BTH,2
30,PAT,1
